move_id,moves,power,pp,accuracy,priority,effect_chance
1,pound,40,35,100,0,0
2,karate-chop,50,25,100,0,0
3,double-slap,15,10,85,0,0
4,comet-punch,18,15,85,0,0
5,mega-punch,80,20,85,0,0
6,pay-day,40,20,100,0,0
7,fire-punch,75,15,100,0,10
8,ice-punch,75,15,100,0,10
9,thunder-punch,75,15,100,0,10
10,scratch,40,35,100,0,0
11,vice-grip,55,30,100,0,0
12,guillotine,0,5,30,0,0
13,razor-wind,80,10,100,0,0
14,swords-dance,0,20,0,0,0
15,cut,50,30,95,0,0
16,gust,40,35,100,0,0
17,wing-attack,60,35,100,0,0
18,whirlwind,0,20,0,-6,0
19,fly,90,15,95,0,0
20,bind,15,20,85,0,100
21,slam,80,20,75,0,0
22,vine-whip,45,25,100,0,0
23,stomp,65,20,100,0,30
24,double-kick,30,30,100,0,0
25,mega-kick,120,5,75,0,0
26,jump-kick,100,10,95,0,0
27,rolling-kick,60,15,85,0,30
28,sand-attack,0,15,100,0,0
29,headbutt,70,15,100,0,30
30,horn-attack,65,25,100,0,0
31,fury-attack,15,20,85,0,0
32,horn-drill,0,5,30,0,0
33,tackle,50,35,100,0,0
34,body-slam,85,15,100,0,30
35,wrap,15,20,90,0,100
36,take-down,90,20,85,0,0
37,thrash,120,10,100,0,0
38,double-edge,120,15,100,0,0
39,tail-whip,0,30,100,0,0
40,poison-sting,15,35,100,0,30
41,twineedle,25,20,100,0,20
42,pin-missile,25,20,95,0,0
43,leer,0,30,100,0,100
44,bite,60,25,100,0,30
45,growl,0,40,100,0,0
46,roar,0,20,0,-6,0
47,sing,0,15,55,0,0
48,supersonic,0,20,55,0,0
49,sonic-boom,0,20,90,0,0
50,disable,0,20,100,0,0
51,acid,40,30,100,0,10
52,ember,40,25,100,0,10
53,flamethrower,90,15,100,0,10
54,mist,0,30,0,0,0
55,water-gun,40,25,100,0,0
56,hydro-pump,110,5,80,0,0
57,surf,90,15,100,0,0
58,ice-beam,90,10,100,0,10
59,blizzard,110,5,70,0,10
60,psybeam,65,20,100,0,10
61,bubble-beam,65,20,100,0,10
62,aurora-beam,65,20,100,0,10
63,hyper-beam,150,5,90,0,0
64,peck,35,35,100,0,0
65,drill-peck,80,20,100,0,0
66,submission,80,20,80,0,0
67,low-kick,0,20,100,0,0
68,counter,0,20,100,-5,0
69,seismic-toss,0,20,100,0,0
70,strength,80,15,100,0,0
71,absorb,20,25,100,0,0
72,mega-drain,40,15,100,0,0
73,leech-seed,0,10,90,0,0
74,growth,0,20,0,0,0
75,razor-leaf,55,25,95,0,0
76,solar-beam,120,10,100,0,0
77,poison-powder,0,35,75,0,0
78,stun-spore,0,30,75,0,0
79,sleep-powder,0,15,75,0,0
80,petal-dance,120,10,100,0,0
81,string-shot,0,40,95,0,0
82,dragon-rage,0,10,100,0,0
83,fire-spin,35,15,85,0,100
84,thunder-shock,40,30,100,0,10
85,thunderbolt,90,15,100,0,10
86,thunder-wave,0,20,100,0,0
87,thunder,110,10,70,0,30
88,rock-throw,50,15,90,0,0
89,earthquake,100,10,100,0,0
90,fissure,0,5,30,0,0
91,dig,80,10,100,0,0
92,toxic,0,10,90,0,0
93,confusion,50,25,100,0,10
94,psychic,90,10,100,0,10
95,hypnosis,0,20,60,0,0
96,meditate,0,40,0,0,0
97,agility,0,30,0,0,0
98,quick-attack,40,30,100,1,0
99,rage,20,20,100,0,0
100,teleport,0,20,0,0,0
101,night-shade,0,15,100,0,0
102,mimic,0,10,0,0,0
103,screech,0,40,85,0,0
104,double-team,0,15,0,0,0
105,recover,0,10,0,0,0
106,harden,0,30,0,0,0
107,minimize,0,10,0,0,0
108,smokescreen,0,20,100,0,0
109,confuse-ray,0,10,100,0,0
110,withdraw,0,40,0,0,0
111,defense-curl,0,40,0,0,0
112,barrier,0,20,0,0,0
113,light-screen,0,30,0,0,0
114,haze,0,30,0,0,0
115,reflect,0,20,0,0,0
116,focus-energy,0,30,0,0,0
117,bide,0,10,0,1,0
118,metronome,0,10,0,0,0
119,mirror-move,0,20,0,0,0
120,self-destruct,200,5,100,0,0
121,egg-bomb,100,10,75,0,0
122,lick,30,30,100,0,30
123,smog,30,20,70,0,40
124,sludge,65,20,100,0,30
125,bone-club,65,20,85,0,10
126,fire-blast,110,5,85,0,10
127,waterfall,80,15,100,0,20
128,clamp,35,15,85,0,100
129,swift,60,20,0,0,0
130,skull-bash,130,10,100,0,100
131,spike-cannon,20,15,100,0,0
132,constrict,10,35,100,0,10
133,amnesia,0,20,0,0,0
134,kinesis,0,15,80,0,0
135,soft-boiled,0,10,0,0,0
136,high-jump-kick,130,10,90,0,0
137,glare,0,30,100,0,0
138,dream-eater,100,15,100,0,0
139,poison-gas,0,40,90,0,0
140,barrage,15,20,85,0,0
141,leech-life,20,15,100,0,0
142,lovely-kiss,0,10,75,0,0
143,sky-attack,140,5,90,0,30
144,transform,0,10,0,0,0
145,bubble,40,30,100,0,10
146,dizzy-punch,70,10,100,0,20
147,spore,0,15,100,0,0
148,flash,0,20,100,0,0
149,psywave,0,15,100,0,0
150,splash,0,40,0,0,0
151,acid-armor,0,20,0,0,0
152,crabhammer,100,10,90,0,0
153,explosion,250,5,100,0,0
154,fury-swipes,18,15,80,0,0
155,bonemerang,50,10,90,0,0
156,rest,0,10,0,0,0
157,rock-slide,75,10,90,0,30
158,hyper-fang,80,15,90,0,10
159,sharpen,0,30,0,0,0
160,conversion,0,30,0,0,0
161,tri-attack,80,10,100,0,20
162,super-fang,0,10,90,0,0
163,slash,70,20,100,0,0
164,substitute,0,10,0,0,0
165,struggle,50,0,0,0,0
166,sketch,0,1,0,0,0
167,triple-kick,10,10,90,0,0
168,thief,60,25,100,0,0
169,spider-web,0,10,0,0,0
170,mind-reader,0,5,0,0,0
171,nightmare,0,15,100,0,0
172,flame-wheel,60,25,100,0,10
173,snore,50,15,100,0,30
174,curse,0,10,0,0,0
175,flail,0,15,100,0,0
176,conversion-2,0,30,0,0,0
177,aeroblast,100,5,95,0,0
178,cotton-spore,0,40,100,0,0
179,reversal,0,15,100,0,0
180,spite,0,10,100,0,0
181,powder-snow,40,25,100,0,10
182,protect,0,10,0,4,0
183,mach-punch,40,30,100,1,0
184,scary-face,0,10,100,0,0
185,feint-attack,60,20,0,0,0
186,sweet-kiss,0,10,75,0,0
187,belly-drum,0,10,0,0,0
